Jerarquía;Descripción;esHoja;Puntuación
1;Documento;false;0
1.2;Documento > Párrafos;false;0
1.2.10;Documento > Párrafos > Párrafo;false;0
1.2.10.510;Documento > Párrafos > Párrafo > Alineación;true;1
1.2.10.511;Documento > Párrafos > Párrafo > Letra capital;false;0
1.2.10.511.528;Documento > Párrafos > Párrafo > Letra capital > Dist. desde  texto;true;1
1.2.10.511.529;Documento > Párrafos > Párrafo > Letra capital > Fuente;true;1
1.2.10.511.530;Documento > Párrafos > Párrafo > Letra capital > Lín. Ocupadas;true;1
1.2.10.511.531;Documento > Párrafos > Párrafo > Letra capital > Posición;true;1
1.2.10.512;Documento > Párrafos > Párrafo > Sang. 1ª línea;true;1
1.2.10.513;Documento > Párrafos > Párrafo > KeepTogether;true;1
1.2.10.514;Documento > Párrafos > Párrafo > KeepWithNext;true;1
1.2.10.515;Documento > Párrafos > Párrafo > Sang. izq.;true;1
1.2.10.516;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.10.517;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.10.518;Documento > Párrafos > Párrafo > SpaceAfter;true;1
1.2.10.519;Documento > Párrafos > Párrafo > SpaceBefore;true;1
1.2.10.520;Documento > Párrafos > Párrafo > OutlineLevel;true;1
1.2.10.521;Documento > Párrafos > Párrafo > PageBreakBefore;true;1
1.2.10.522;Documento > Párrafos > Párrafo > Sang. dcha.;true;1
1.2.10.523;Documento > Párrafos > Párrafo > TabStops;false;0
1.2.10.523.532;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.10.523.532.548;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.10.523.532.549;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.10.523.532.550;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.10.523.533;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.10.523.533.551;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.10.523.533.552;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.10.523.533.553;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.10.523.534;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
